@timestamp,file.mtime,event.action,file.path,file.owner,related.user
"Oct 22, 2022 @ 15:32:38.540","Oct 22, 2022 @ 15:32:38.534","updated, attributes_modified",/var/log/auth.log,syslog,-
"Oct 22, 2022 @ 15:32:38.526","Oct 22, 2022 @ 15:32:38.522","updated, attributes_modified",/var/log/auth.log,syslog,-
"Oct 22, 2022 @ 15:32:38.525","Oct 22, 2022 @ 15:32:38.518","updated, attributes_modified",/var/log/auth.log,syslog,-
"Oct 22, 2022 @ 15:32:38.521","Oct 22, 2022 @ 15:32:38.518","updated, attributes_modified",/var/log/auth.log,syslog,-
"Oct 22, 2022 @ 15:32:14.789","Oct 22, 2022 @ 15:32:14.782","updated, attributes_modified",/var/log/auth.log,syslog,-
"Oct 22, 2022 @ 15:32:14.787","Oct 22, 2022 @ 15:32:14.782","updated, attributes_modified",/var/log/auth.log,syslog,-
"Oct 22, 2022 @ 15:32:14.785","Oct 22, 2022 @ 15:32:14.778","updated, attributes_modified",/var/log/auth.log,syslog,-
"Oct 22, 2022 @ 15:31:08.218","Oct 22, 2022 @ 15:31:08.215","updated, attributes_modified",/var/log/auth.log,syslog,-
"Oct 22, 2022 @ 15:31:08.216","Oct 22, 2022 @ 15:31:08.211","updated, attributes_modified",/var/log/auth.log,syslog,-
"Oct 22, 2022 @ 15:31:08.215","Oct 22, 2022 @ 15:31:08.211","updated, attributes_modified",/var/log/auth.log,syslog,-
"Oct 22, 2022 @ 15:31:08.214","Oct 22, 2022 @ 15:31:08.211","updated, attributes_modified",/var/log/auth.log,syslog,-
"Oct 22, 2022 @ 15:31:08.213","Oct 22, 2022 @ 15:31:08.207","updated, attributes_modified",/var/log/auth.log,syslog,-
"Oct 22, 2022 @ 15:30:01.722","Oct 22, 2022 @ 15:30:01.720","updated, attributes_modified",/var/log/auth.log,syslog,-
"Oct 22, 2022 @ 15:30:01.719","Oct 22, 2022 @ 15:30:01.716","updated, attributes_modified",/var/log/auth.log,syslog,-
"Oct 22, 2022 @ 15:30:01.718","Oct 22, 2022 @ 15:30:01.716","updated, attributes_modified",/var/log/auth.log,syslog,-
"Oct 22, 2022 @ 15:29:43.803","Oct 22, 2022 @ 15:29:43.801","updated, attributes_modified",/var/log/auth.log,syslog,-
"Oct 22, 2022 @ 15:29:43.798","Oct 22, 2022 @ 15:29:43.797","updated, attributes_modified",/var/log/auth.log,syslog,-
"Oct 22, 2022 @ 15:29:43.798","Oct 22, 2022 @ 15:29:43.797","updated, attributes_modified",/var/log/auth.log,syslog,-
"Oct 22, 2022 @ 15:29:43.796","Oct 22, 2022 @ 15:29:43.793","updated, attributes_modified",/var/log/auth.log,syslog,-
"Oct 22, 2022 @ 15:25:37.604","Oct 22, 2022 @ 15:25:37.601","updated, attributes_modified",/var/log/auth.log,syslog,-
"Oct 22, 2022 @ 15:25:37.601","Oct 22, 2022 @ 15:25:37.597","updated, attributes_modified",/var/log/auth.log,syslog,-
"Oct 22, 2022 @ 15:25:37.599","Oct 22, 2022 @ 15:25:37.597","updated, attributes_modified",/var/log/auth.log,syslog,-
"Oct 22, 2022 @ 15:23:42.992","Oct 22, 2022 @ 15:23:42.987","updated, attributes_modified",/var/log/auth.log,syslog,-
"Oct 22, 2022 @ 15:23:42.989","Oct 22, 2022 @ 15:23:42.983","updated, attributes_modified",/var/log/auth.log,syslog,-
"Oct 22, 2022 @ 15:23:42.988","Oct 22, 2022 @ 15:23:42.983","updated, attributes_modified",/var/log/auth.log,syslog,-
"Oct 22, 2022 @ 15:23:42.986","Oct 22, 2022 @ 15:23:42.983","updated, attributes_modified",/var/log/auth.log,syslog,-
"Oct 22, 2022 @ 15:23:05.597",-,process_stopped,-,-,-
"Oct 22, 2022 @ 15:22:59.642","Oct 22, 2022 @ 15:22:59.640","updated, attributes_modified",/var/log/auth.log,syslog,-
"Oct 22, 2022 @ 15:22:59.639",-,deleted,/home/adam/cleanup.sh~,-,-
"Oct 22, 2022 @ 15:22:59.639",-,deleted,/home/adam/.cleanup.sh.swp,-,-
"Oct 22, 2022 @ 15:22:59.638","Oct 22, 2022 @ 15:22:59.632","updated, attributes_modified",/home/adam/.cleanup.sh.swp,root,-
"Oct 22, 2022 @ 15:22:59.637",-,attributes_modified,/home/adam/cleanup.sh~,-,-
"Oct 22, 2022 @ 15:22:59.637","Oct 22, 2022 @ 15:22:59.632","updated, attributes_modified",/home/adam/cleanup.sh,vagrant,-
"Oct 22, 2022 @ 15:22:59.634",-,deleted,/home/adam/4913,-,-
"Oct 22, 2022 @ 15:22:59.634","Oct 22, 2022 @ 15:21:38.000",created,/home/adam/cleanup.sh~,root,-
"Oct 22, 2022 @ 15:22:55.779","Oct 22, 2022 @ 15:22:55.776","updated, attributes_modified",/home/adam/.cleanup.sh.swp,root,-
"Oct 22, 2022 @ 15:22:55.597",-,process_started,-,-,-
"Oct 22, 2022 @ 15:22:51.554",-,created,/home/adam/.cleanup.sh.swx,-,-
"Oct 22, 2022 @ 15:22:51.554",-,deleted,/home/adam/.cleanup.sh.swx,-,-
"Oct 22, 2022 @ 15:22:51.554","Oct 22, 2022 @ 15:22:51.552","updated, attributes_modified",/home/adam/.cleanup.sh.swp,root,-
"Oct 22, 2022 @ 15:22:51.554","Oct 22, 2022 @ 15:22:51.552",attributes_modified,/home/adam/.cleanup.sh.swp,root,-
"Oct 22, 2022 @ 15:22:51.553","Oct 22, 2022 @ 15:22:51.548",created,/home/adam/.cleanup.sh.swp,root,-
"Oct 22, 2022 @ 15:22:51.492","Oct 22, 2022 @ 15:22:51.488","updated, attributes_modified",/var/log/auth.log,syslog,-
