@timestamp,_id,_index,_score,agent.ephemeral_id,agent.hostname,agent.id,agent.name,agent.type,agent.version,ecs.version,error.message,event.action,event.category,event.dataset,event.id,event.kind,event.module,event.origin,event.outcome,event.type,file.ctime,file.extension,file.gid,file.group,file.hash.sha1,file.inode,file.mime_type,file.mode,file.mtime,file.owner,file.path,file.path.text,file.setgid,file.setuid,file.size,file.target_path,file.target_path.text,file.type,file.uid,host.architecture,host.containerized,host.hostname,host.id,host.ip,host.mac,host.name,host.os.codename,host.os.family,host.os.kernel,host.os.name,host.os.name.text,host.os.platform,host.os.type,host.os.version,message,process.args,process.entity_id,process.executable,process.executable.text,process.hash.sha1,process.name,process.name.text,process.parent.pid,process.pid,process.start,process.working_directory,process.working_directory.text,related.ip,related.user,service.type,source.ip,system.audit.host.architecture,system.audit.host.boottime,system.audit.host.containerized,system.audit.host.hostname,system.audit.host.id,system.audit.host.ip,system.audit.host.mac,system.audit.host.os.codename,system.audit.host.os.family,system.audit.host.os.kernel,system.audit.host.os.name,system.audit.host.os.platform,system.audit.host.os.type,system.audit.host.os.version,system.audit.host.timezone.name,system.audit.host.timezone.offset.sec,system.audit.host.uptime,system.audit.user.dir,system.audit.user.gid,system.audit.user.group.gid,system.audit.user.group.id,system.audit.user.group.name,system.audit.user.name,system.audit.user.password.last_changed,system.audit.user.password.type,system.audit.user.shell,system.audit.user.uid,system.audit.user.user_information,user.effective.group.id,user.effective.id,user.entity_id,user.group.id,user.group.name,user.id,user.name,user.name.text,user.saved.group.id,user.saved.id,user.terminal,,,,,,,,,
"Oct 22, 2022 @ 15:32:38.540",Iceb_oMBlM6FNcp7r93k,.ds-auditbeat-8.3.3-2022.10.22-000001,-,064464fd-ed0f-4490-9902-b6f22db19af8,c2be3c5be205,4592a6e2-23ee-40e7-be4b-f7037f88c17d,c2be3c5be205,auditbeat,8.3.3,8.0.0,-,"updated, attributes_modified",file,file,-,event,file_integrity,-,-,change,"Oct 22, 2022 @ 15:32:38.534",log,4,adm,236a7dfc7410ffcea55ee898a552aa1678e3aa4c,535402,-,640,"Oct 22, 2022 @ 15:32:38.534",syslog,/var/log/auth.log,/var/log/auth.log,-,-,"12,779",-,-,file,107,x86_64,TRUE,c2be3c5be205,b9675852aa3f4a66b2fe60f5613e3a16,"172.17.0.3, 192.168.0.3","02:42:ac:11:00:03, 02:42:c0:a8:00:03",c2be3c5be205,jammy,debian,5.4.0-131-generic,Ubuntu,Ubuntu,ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,file_integrity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
"Oct 22, 2022 @ 15:32:38.526",IMeb_oMBlM6FNcp7r93k,.ds-auditbeat-8.3.3-2022.10.22-000001,-,064464fd-ed0f-4490-9902-b6f22db19af8,c2be3c5be205,4592a6e2-23ee-40e7-be4b-f7037f88c17d,c2be3c5be205,auditbeat,8.3.3,8.0.0,-,"updated, attributes_modified",file,file,-,event,file_integrity,-,-,change,"Oct 22, 2022 @ 15:32:38.522",log,4,adm,2c50ae05168ead450d898b7c3648664bc70d21cd,535402,-,640,"Oct 22, 2022 @ 15:32:38.522",syslog,/var/log/auth.log,/var/log/auth.log,-,-,"12,644",-,-,file,107,x86_64,TRUE,c2be3c5be205,b9675852aa3f4a66b2fe60f5613e3a16,"172.17.0.3, 192.168.0.3","02:42:ac:11:00:03, 02:42:c0:a8:00:03",c2be3c5be205,jammy,debian,5.4.0-131-generic,Ubuntu,Ubuntu,ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,file_integrity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
"Oct 22, 2022 @ 15:32:38.525",H8eb_oMBlM6FNcp7r93k,.ds-auditbeat-8.3.3-2022.10.22-000001,-,064464fd-ed0f-4490-9902-b6f22db19af8,c2be3c5be205,4592a6e2-23ee-40e7-be4b-f7037f88c17d,c2be3c5be205,auditbeat,8.3.3,8.0.0,-,"updated, attributes_modified",file,file,-,event,file_integrity,-,-,change,"Oct 22, 2022 @ 15:32:38.518",log,4,adm,29f00fd297b6d38f57591f24b1437e748cd39d69,535402,-,640,"Oct 22, 2022 @ 15:32:38.518",syslog,/var/log/auth.log,/var/log/auth.log,-,-,"12,518",-,-,file,107,x86_64,TRUE,c2be3c5be205,b9675852aa3f4a66b2fe60f5613e3a16,"172.17.0.3, 192.168.0.3","02:42:ac:11:00:03, 02:42:c0:a8:00:03",c2be3c5be205,jammy,debian,5.4.0-131-generic,Ubuntu,Ubuntu,ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,file_integrity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
"Oct 22, 2022 @ 15:32:38.521",Hseb_oMBlM6FNcp7r93k,.ds-auditbeat-8.3.3-2022.10.22-000001,-,064464fd-ed0f-4490-9902-b6f22db19af8,c2be3c5be205,4592a6e2-23ee-40e7-be4b-f7037f88c17d,c2be3c5be205,auditbeat,8.3.3,8.0.0,-,"updated, attributes_modified",file,file,-,event,file_integrity,-,-,change,"Oct 22, 2022 @ 15:32:38.518",log,4,adm,f5bc507d12333692beac008a1e59ff7c812b377f,535402,-,640,"Oct 22, 2022 @ 15:32:38.518",syslog,/var/log/auth.log,/var/log/auth.log,-,-,"12,401",-,-,file,107,x86_64,TRUE,c2be3c5be205,b9675852aa3f4a66b2fe60f5613e3a16,"172.17.0.3, 192.168.0.3","02:42:ac:11:00:03, 02:42:c0:a8:00:03",c2be3c5be205,jammy,debian,5.4.0-131-generic,Ubuntu,Ubuntu,ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,file_integrity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
"Oct 22, 2022 @ 15:32:14.789",2Meb_oMBlM6FNcp7U9xU,.ds-auditbeat-8.3.3-2022.10.22-000001,-,064464fd-ed0f-4490-9902-b6f22db19af8,c2be3c5be205,4592a6e2-23ee-40e7-be4b-f7037f88c17d,c2be3c5be205,auditbeat,8.3.3,8.0.0,-,"updated, attributes_modified",file,file,-,event,file_integrity,-,-,change,"Oct 22, 2022 @ 15:32:14.782",log,4,adm,b4a9e5c9e82d2001926ff3916290ea3fc47e006c,535402,-,640,"Oct 22, 2022 @ 15:32:14.782",syslog,/var/log/auth.log,/var/log/auth.log,-,-,"12,242",-,-,file,107,x86_64,TRUE,c2be3c5be205,b9675852aa3f4a66b2fe60f5613e3a16,"172.17.0.3, 192.168.0.3","02:42:ac:11:00:03, 02:42:c0:a8:00:03",c2be3c5be205,jammy,debian,5.4.0-131-generic,Ubuntu,Ubuntu,ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,file_integrity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
"Oct 22, 2022 @ 15:32:14.787",18eb_oMBlM6FNcp7U9xU,.ds-auditbeat-8.3.3-2022.10.22-000001,-,064464fd-ed0f-4490-9902-b6f22db19af8,c2be3c5be205,4592a6e2-23ee-40e7-be4b-f7037f88c17d,c2be3c5be205,auditbeat,8.3.3,8.0.0,-,"updated, attributes_modified",file,file,-,event,file_integrity,-,-,change,"Oct 22, 2022 @ 15:32:14.782",log,4,adm,79a04daaf729f28ba00dac9a1392bd3dba4bdaab,535402,-,640,"Oct 22, 2022 @ 15:32:14.782",syslog,/var/log/auth.log,/var/log/auth.log,-,-,"12,154",-,-,file,107,x86_64,TRUE,c2be3c5be205,b9675852aa3f4a66b2fe60f5613e3a16,"172.17.0.3, 192.168.0.3","02:42:ac:11:00:03, 02:42:c0:a8:00:03",c2be3c5be205,jammy,debian,5.4.0-131-generic,Ubuntu,Ubuntu,ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,file_integrity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
"Oct 22, 2022 @ 15:32:14.785",1seb_oMBlM6FNcp7U9xU,.ds-auditbeat-8.3.3-2022.10.22-000001,-,064464fd-ed0f-4490-9902-b6f22db19af8,c2be3c5be205,4592a6e2-23ee-40e7-be4b-f7037f88c17d,c2be3c5be205,auditbeat,8.3.3,8.0.0,-,"updated, attributes_modified",file,file,-,event,file_integrity,-,-,change,"Oct 22, 2022 @ 15:32:14.778",log,4,adm,a98fca0b57d37101ffd49d101aed4de1354c811e,535402,-,640,"Oct 22, 2022 @ 15:32:14.778",syslog,/var/log/auth.log,/var/log/auth.log,-,-,"11,761",-,-,file,107,x86_64,TRUE,c2be3c5be205,b9675852aa3f4a66b2fe60f5613e3a16,"172.17.0.3, 192.168.0.3","02:42:ac:11:00:03, 02:42:c0:a8:00:03",c2be3c5be205,jammy,debian,5.4.0-131-generic,Ubuntu,Ubuntu,ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,file_integrity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
"Oct 22, 2022 @ 15:31:08.218",7Mea_oMBlM6FNcp7T9sg,.ds-auditbeat-8.3.3-2022.10.22-000001,-,064464fd-ed0f-4490-9902-b6f22db19af8,c2be3c5be205,4592a6e2-23ee-40e7-be4b-f7037f88c17d,c2be3c5be205,auditbeat,8.3.3,8.0.0,-,"updated, attributes_modified",file,file,-,event,file_integrity,-,-,change,"Oct 22, 2022 @ 15:31:08.215",log,4,adm,f3029063d4abe47508ff172db46aa17372da962a,535402,-,640,"Oct 22, 2022 @ 15:31:08.215",syslog,/var/log/auth.log,/var/log/auth.log,-,-,"11,632",-,-,file,107,x86_64,TRUE,c2be3c5be205,b9675852aa3f4a66b2fe60f5613e3a16,"172.17.0.3, 192.168.0.3","02:42:ac:11:00:03, 02:42:c0:a8:00:03",c2be3c5be205,jammy,debian,5.4.0-131-generic,Ubuntu,Ubuntu,ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,file_integrity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
"Oct 22, 2022 @ 15:31:08.216",68ea_oMBlM6FNcp7T9sg,.ds-auditbeat-8.3.3-2022.10.22-000001,-,064464fd-ed0f-4490-9902-b6f22db19af8,c2be3c5be205,4592a6e2-23ee-40e7-be4b-f7037f88c17d,c2be3c5be205,auditbeat,8.3.3,8.0.0,-,"updated, attributes_modified",file,file,-,event,file_integrity,-,-,change,"Oct 22, 2022 @ 15:31:08.211",log,4,adm,c97eb2c988e8115fe169ffd7b2b685c23f5a9c84,535402,-,640,"Oct 22, 2022 @ 15:31:08.211",syslog,/var/log/auth.log,/var/log/auth.log,-,-,"11,544",-,-,file,107,x86_64,TRUE,c2be3c5be205,b9675852aa3f4a66b2fe60f5613e3a16,"172.17.0.3, 192.168.0.3","02:42:ac:11:00:03, 02:42:c0:a8:00:03",c2be3c5be205,jammy,debian,5.4.0-131-generic,Ubuntu,Ubuntu,ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,file_integrity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
"Oct 22, 2022 @ 15:31:08.215",6sea_oMBlM6FNcp7T9sg,.ds-auditbeat-8.3.3-2022.10.22-000001,-,064464fd-ed0f-4490-9902-b6f22db19af8,c2be3c5be205,4592a6e2-23ee-40e7-be4b-f7037f88c17d,c2be3c5be205,auditbeat,8.3.3,8.0.0,-,"updated, attributes_modified",file,file,-,event,file_integrity,-,-,change,"Oct 22, 2022 @ 15:31:08.211",log,4,adm,2b95d7c1c70dd1085e5d31b0e57606632b2e09de,535402,-,640,"Oct 22, 2022 @ 15:31:08.211",syslog,/var/log/auth.log,/var/log/auth.log,-,-,"11,435",-,-,file,107,x86_64,TRUE,c2be3c5be205,b9675852aa3f4a66b2fe60f5613e3a16,"172.17.0.3, 192.168.0.3","02:42:ac:11:00:03, 02:42:c0:a8:00:03",c2be3c5be205,jammy,debian,5.4.0-131-generic,Ubuntu,Ubuntu,ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,file_integrity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
"Oct 22, 2022 @ 15:31:08.214",6cea_oMBlM6FNcp7T9sg,.ds-auditbeat-8.3.3-2022.10.22-000001,-,064464fd-ed0f-4490-9902-b6f22db19af8,c2be3c5be205,4592a6e2-23ee-40e7-be4b-f7037f88c17d,c2be3c5be205,auditbeat,8.3.3,8.0.0,-,"updated, attributes_modified",file,file,-,event,file_integrity,-,-,change,"Oct 22, 2022 @ 15:31:08.211",log,4,adm,6c90e2f7652876e90e5044f94a79d8f3068b1664,535402,-,640,"Oct 22, 2022 @ 15:31:08.211",syslog,/var/log/auth.log,/var/log/auth.log,-,-,"11,305",-,-,file,107,x86_64,TRUE,c2be3c5be205,b9675852aa3f4a66b2fe60f5613e3a16,"172.17.0.3, 192.168.0.3","02:42:ac:11:00:03, 02:42:c0:a8:00:03",c2be3c5be205,jammy,debian,5.4.0-131-generic,Ubuntu,Ubuntu,ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,file_integrity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
"Oct 22, 2022 @ 15:31:08.213",6Mea_oMBlM6FNcp7T9sg,.ds-auditbeat-8.3.3-2022.10.22-000001,-,064464fd-ed0f-4490-9902-b6f22db19af8,c2be3c5be205,4592a6e2-23ee-40e7-be4b-f7037f88c17d,c2be3c5be205,auditbeat,8.3.3,8.0.0,-,"updated, attributes_modified",file,file,-,event,file_integrity,-,-,change,"Oct 22, 2022 @ 15:31:08.207",log,4,adm,c5da29676b0a9b70ab44e5cec8fd759d8de3fa9e,535402,-,640,"Oct 22, 2022 @ 15:31:08.207",syslog,/var/log/auth.log,/var/log/auth.log,-,-,"11,151",-,-,file,107,x86_64,TRUE,c2be3c5be205,b9675852aa3f4a66b2fe60f5613e3a16,"172.17.0.3, 192.168.0.3","02:42:ac:11:00:03, 02:42:c0:a8:00:03",c2be3c5be205,jammy,debian,5.4.0-131-generic,Ubuntu,Ubuntu,ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,file_integrity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
"Oct 22, 2022 @ 15:30:01.722",H8eZ_oMBlM6FNcp7S9tg,.ds-auditbeat-8.3.3-2022.10.22-000001,-,064464fd-ed0f-4490-9902-b6f22db19af8,c2be3c5be205,4592a6e2-23ee-40e7-be4b-f7037f88c17d,c2be3c5be205,auditbeat,8.3.3,8.0.0,-,"updated, attributes_modified",file,file,-,event,file_integrity,-,-,change,"Oct 22, 2022 @ 15:30:01.720",log,4,adm,8c561e14f700028c495fe75efb6f8bfefb7817f1,535402,-,640,"Oct 22, 2022 @ 15:30:01.720",syslog,/var/log/auth.log,/var/log/auth.log,-,-,"11,015",-,-,file,107,x86_64,TRUE,c2be3c5be205,b9675852aa3f4a66b2fe60f5613e3a16,"172.17.0.3, 192.168.0.3","02:42:ac:11:00:03, 02:42:c0:a8:00:03",c2be3c5be205,jammy,debian,5.4.0-131-generic,Ubuntu,Ubuntu,ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,file_integrity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
