@timestamp,agent.type,client.bytes,client.ip,client.port,destination.bytes,destination.domain,destination.ip,destination.port,event.type,host.ip,host.os.version,http.request.body.bytes,http.request.bytes,http.request.headers.content-length,http.request.headers.content-type,http.request.method,http.response.body.bytes,http.response.bytes,http.response.headers.content-length,http.response.headers.content-type,http.response.status_code,http.response.status_phrase,http.version,method,network.direction,network.protocol,network.transport,network.type,query,related.hosts,related.ip,server.bytes,server.domain,server.ip,server.port,source.ip,source.port,status,url.domain,url.extension,url.full,url.full.text,url.path,url.port,url.query,url.scheme,user_agent.original,user_agent.original.text
"Oct 24, 2022 @ 22:16:18.255",packetbeat,235B,172.16.0.9,47952,1.3KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,"connection, protocol",172.16.0.9,22.04.1 LTS (Jammy Jellyfish),-,235B,0,-,OPTIONS,1.1KB,1.3KB,"1,086",text/html;charset=utf-8,405,method not allowed,1.1,OPTIONS,egress,http,tcp,ipv4,OPTIONS /,3204_webapp_1.3204_companyABC,"172.16.0.9, 172.16.0.2",1.3KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,172.16.0.9,47952,Error,3204_webapp_1.3204_companyABC,-,http://3204_webapp_1.3204_companyABC:8080/,http://3204_webapp_1.3204_companyABC:8080/,/,8080,-,http,Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html),Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)
"Oct 24, 2022 @ 22:16:18.252",packetbeat,237B,172.16.0.9,47926,1.3KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,"connection, protocol",172.16.0.9,22.04.1 LTS (Jammy Jellyfish),-,237B,0,-,OPTIONS,1.1KB,1.3KB,"1,086",text/html;charset=utf-8,405,method not allowed,1.1,OPTIONS,egress,http,tcp,ipv4,OPTIONS /,3204_webapp_1.3204_companyABC,"172.16.0.9, 172.16.0.2",1.3KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,172.16.0.9,47926,Error,3204_webapp_1.3204_companyABC,-,http://3204_webapp_1.3204_companyABC:8080/,http://3204_webapp_1.3204_companyABC:8080/,/,8080,-,http,Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html),Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)
"Oct 24, 2022 @ 22:16:18.249",packetbeat,237B,172.16.0.9,47920,1.3KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,"connection, protocol",172.16.0.9,22.04.1 LTS (Jammy Jellyfish),-,237B,0,-,OPTIONS,1.1KB,1.3KB,"1,086",text/html;charset=utf-8,405,method not allowed,1.1,OPTIONS,egress,http,tcp,ipv4,OPTIONS /,3204_webapp_1.3204_companyABC,"172.16.0.9, 172.16.0.2",1.3KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,172.16.0.9,47920,Error,3204_webapp_1.3204_companyABC,-,http://3204_webapp_1.3204_companyABC:8080/,http://3204_webapp_1.3204_companyABC:8080/,/,8080,-,http,Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html),Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)
"Oct 24, 2022 @ 22:16:18.235",packetbeat,176B,172.16.0.9,47906,1.3KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,"connection, protocol",172.16.0.9,22.04.1 LTS (Jammy Jellyfish),-,176B,0,-,OPTIONS,1.1KB,1.3KB,"1,086",text/html;charset=utf-8,405,method not allowed,1.1,OPTIONS,egress,http,tcp,ipv4,OPTIONS /,3204_webapp_1.3204_companyABC,"172.16.0.9, 172.16.0.2",1.3KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,172.16.0.9,47906,Error,3204_webapp_1.3204_companyABC,-,http://3204_webapp_1.3204_companyABC:8080/,http://3204_webapp_1.3204_companyABC:8080/,/,8080,-,http,Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html),Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)
"Oct 24, 2022 @ 22:16:18.234",packetbeat,235B,172.16.0.9,47892,1.3KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,"connection, protocol",172.16.0.9,22.04.1 LTS (Jammy Jellyfish),-,235B,0,-,OPTIONS,1.1KB,1.3KB,"1,086",text/html;charset=utf-8,405,method not allowed,1.1,OPTIONS,egress,http,tcp,ipv4,OPTIONS /,3204_webapp_1.3204_companyABC,"172.16.0.9, 172.16.0.2",1.3KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,172.16.0.9,47892,Error,3204_webapp_1.3204_companyABC,-,http://3204_webapp_1.3204_companyABC:8080/,http://3204_webapp_1.3204_companyABC:8080/,/,8080,-,http,Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html),Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)
"Oct 24, 2022 @ 22:16:18.227",packetbeat,236B,172.16.0.9,47866,1.3KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,"connection, protocol",172.16.0.9,22.04.1 LTS (Jammy Jellyfish),-,236B,0,-,OPTIONS,1.1KB,1.3KB,"1,086",text/html;charset=utf-8,405,method not allowed,1.1,OPTIONS,egress,http,tcp,ipv4,OPTIONS /,3204_webapp_1.3204_companyABC,"172.16.0.9, 172.16.0.2",1.3KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,172.16.0.9,47866,Error,3204_webapp_1.3204_companyABC,-,http://3204_webapp_1.3204_companyABC:8080/,http://3204_webapp_1.3204_companyABC:8080/,/,8080,-,http,Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html),Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)
"Oct 24, 2022 @ 22:16:18.227",packetbeat,192B,172.16.0.9,47880,2.6KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,"connection, protocol",172.16.0.9,22.04.1 LTS (Jammy Jellyfish),-,192B,0,-,POST,2.4KB,2.6KB,"2,469",text/html;charset=ISO-8859-1,200,ok,1.1,POST,egress,http,tcp,ipv4,POST /,3204_webapp_1.3204_companyABC,"172.16.0.9, 172.16.0.2",2.6KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,172.16.0.9,47880,OK,3204_webapp_1.3204_companyABC,-,http://3204_webapp_1.3204_companyABC:8080/,http://3204_webapp_1.3204_companyABC:8080/,/,8080,-,http,Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html),Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)
"Oct 24, 2022 @ 22:16:18.204",packetbeat,173B,172.16.0.9,47832,249B,3204_webapp_1.3204_companyABC,172.16.0.2,8080,"connection, protocol",172.16.0.9,22.04.1 LTS (Jammy Jellyfish),-,173B,0,-,HEAD,-,249B,0,text/html;charset=ISO-8859-1,200,ok,1.1,HEAD,egress,http,tcp,ipv4,HEAD /,3204_webapp_1.3204_companyABC,"172.16.0.9, 172.16.0.2",249B,3204_webapp_1.3204_companyABC,172.16.0.2,8080,172.16.0.9,47832,OK,3204_webapp_1.3204_companyABC,-,http://3204_webapp_1.3204_companyABC:8080/,http://3204_webapp_1.3204_companyABC:8080/,/,8080,-,http,Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html),Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)
"Oct 24, 2022 @ 22:16:18.204",packetbeat,233B,172.16.0.9,47848,1.3KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,"connection, protocol",172.16.0.9,22.04.1 LTS (Jammy Jellyfish),-,233B,0,-,OPTIONS,1.1KB,1.3KB,"1,086",text/html;charset=utf-8,405,method not allowed,1.1,OPTIONS,egress,http,tcp,ipv4,OPTIONS /,3204_webapp_1.3204_companyABC,"172.16.0.9, 172.16.0.2",1.3KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,172.16.0.9,47848,Error,3204_webapp_1.3204_companyABC,-,http://3204_webapp_1.3204_companyABC:8080/,http://3204_webapp_1.3204_companyABC:8080/,/,8080,-,http,Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html),Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)
"Oct 24, 2022 @ 22:16:18.204",packetbeat,172B,172.16.0.9,47862,2.6KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,"connection, protocol",172.16.0.9,22.04.1 LTS (Jammy Jellyfish),-,172B,0,-,GET,2.4KB,2.6KB,"2,469",text/html;charset=ISO-8859-1,200,ok,1.1,GET,egress,http,tcp,ipv4,GET /,3204_webapp_1.3204_companyABC,"172.16.0.9, 172.16.0.2",2.6KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,172.16.0.9,47862,OK,3204_webapp_1.3204_companyABC,-,http://3204_webapp_1.3204_companyABC:8080/,http://3204_webapp_1.3204_companyABC:8080/,/,8080,-,http,Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html),Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)
